time, co2(ppm), temperature(C), rel_humidity(percent)
30-08-2023 18:17:11, 1479, 22.40, 74.41
30-08-2023 18:17:16, 1479, 22.37, 74.37
30-08-2023 18:17:21, 1480, 22.37, 74.34
30-08-2023 18:17:26, 1480, 22.39, 74.38
30-08-2023 18:17:31, 1481, 22.39, 74.40
30-08-2023 18:17:36, 1481, 22.38, 74.40
30-08-2023 18:17:41, 1481, 22.39, 74.40
30-08-2023 18:17:46, 1483, 22.40, 74.43
30-08-2023 18:17:51, 1483, 22.40, 74.39
30-08-2023 18:17:56, 1483, 22.38, 74.39
30-08-2023 18:18:01, 1482, 22.38, 74.38
30-08-2023 18:18:06, 1483, 22.39, 74.40
30-08-2023 18:18:11, 1483, 22.38, 74.37
30-08-2023 18:18:16, 1483, 22.38, 74.44
30-08-2023 18:18:21, 1483, 22.38, 74.38
30-08-2023 18:18:26, 1484, 22.39, 74.41
30-08-2023 18:18:31, 1485, 22.38, 74.40
30-08-2023 18:18:36, 1485, 22.37, 74.39
30-08-2023 18:18:41, 1484, 22.38, 74.38
30-08-2023 18:18:46, 1483, 22.38, 74.39
30-08-2023 18:18:51, 1484, 22.39, 74.39
30-08-2023 18:18:56, 1484, 22.38, 74.40
30-08-2023 18:19:01, 1483, 22.36, 74.34
30-08-2023 18:19:06, 1483, 22.39, 74.38
30-08-2023 18:19:11, 1485, 22.37, 74.37
30-08-2023 18:19:16, 1485, 22.38, 74.36
30-08-2023 18:19:21, 1486, 22.38, 74.40
30-08-2023 18:19:26, 1485, 22.40, 74.43
30-08-2023 18:19:31, 1486, 22.38, 74.35
30-08-2023 18:19:36, 1485, 22.39, 74.42
30-08-2023 18:19:41, 1486, 22.37, 74.39
30-08-2023 18:19:46, 1486, 22.37, 74.38
30-08-2023 18:19:51, 1487, 22.36, 74.33
30-08-2023 18:19:56, 1486, 22.38, 74.41
30-08-2023 18:20:01, 1486, 22.37, 74.42
30-08-2023 18:20:06, 1487, 22.38, 74.39
30-08-2023 18:20:11, 1487, 22.38, 74.39
30-08-2023 18:20:16, 1488, 22.39, 74.39
30-08-2023 18:20:21, 1488, 22.38, 74.36
30-08-2023 18:20:26, 1487, 22.37, 74.40
30-08-2023 18:20:31, 1488, 22.38, 74.39
30-08-2023 18:20:36, 1488, 22.37, 74.39
30-08-2023 18:20:41, 1488, 22.38, 74.39
30-08-2023 18:20:46, 1488, 22.37, 74.38
30-08-2023 18:20:51, 1489, 22.39, 74.40
30-08-2023 18:20:56, 1489, 22.38, 74.42
30-08-2023 18:21:01, 1489, 22.37, 74.36
30-08-2023 18:21:06, 1489, 22.38, 74.41
30-08-2023 18:21:11, 1489, 22.38, 74.38
30-08-2023 18:21:16, 1489, 22.38, 74.38
30-08-2023 18:21:21, 1489, 22.37, 74.42
30-08-2023 18:21:26, 1488, 22.38, 74.39
30-08-2023 18:21:31, 1488, 22.39, 74.43
30-08-2023 18:21:36, 1488, 22.39, 74.39
30-08-2023 18:21:41, 1488, 22.37, 74.40
30-08-2023 18:21:46, 1488, 22.38, 74.40
30-08-2023 18:21:52, 1488, 22.39, 74.37
30-08-2023 18:21:57, 1486, 22.38, 74.40
30-08-2023 18:22:02, 1486, 22.38, 74.40
30-08-2023 18:22:07, 1486, 22.38, 74.40
30-08-2023 18:22:12, 1486, 22.39, 74.39
30-08-2023 18:22:17, 1484, 22.37, 74.39
