time, co2(ppm), temperature(°C), rel_humidity(percent)
2023/09/07 18:41:15, 1056, 23.19, 87.78
2023/09/07 18:41:20, 1057, 23.17, 87.78
2023/09/07 18:41:25, 1058, 23.22, 87.79
2023/09/07 18:41:30, 1057, 23.20, 87.76
2023/09/07 18:41:35, 1057, 23.21, 87.81
2023/09/07 18:41:40, 1054, 23.19, 87.80
2023/09/07 18:41:45, 1054, 23.19, 87.77
2023/09/07 18:41:50, 1055, 23.20, 87.74
2023/09/07 18:41:55, 1055, 23.21, 87.77
2023/09/07 18:42:00, 1055, 23.20, 87.75
2023/09/07 18:42:05, 1055, 23.19, 87.76
2023/09/07 18:42:10, 1055, 23.20, 87.76
2023/09/07 18:42:15, 1056, 23.19, 87.75
2023/09/07 18:42:20, 1056, 23.19, 87.77
2023/09/07 18:42:25, 1057, 23.18, 87.75
2023/09/07 18:42:30, 1057, 23.20, 87.77
2023/09/07 18:42:35, 1056, 23.20, 87.75
2023/09/07 18:42:40, 1057, 23.19, 87.79
2023/09/07 18:42:45, 1056, 23.22, 87.79
2023/09/07 18:42:50, 1057, 23.19, 87.71
2023/09/07 18:42:55, 1056, 23.19, 87.75
2023/09/07 18:43:00, 1056, 23.19, 87.76
2023/09/07 18:43:05, 1057, 23.19, 87.76
2023/09/07 18:43:10, 1057, 23.19, 87.72
2023/09/07 18:43:15, 1056, 23.20, 87.74
2023/09/07 18:43:20, 1055, 23.22, 87.76
2023/09/07 18:43:25, 1054, 23.20, 87.73
2023/09/07 18:43:30, 1054, 23.18, 87.73
2023/09/07 18:43:35, 1054, 23.20, 87.76
2023/09/07 18:43:40, 1054, 23.18, 87.72
2023/09/07 18:43:45, 1055, 23.21, 87.75
2023/09/07 18:43:50, 1055, 23.20, 87.70
2023/09/07 18:43:55, 1055, 23.20, 87.74
2023/09/07 18:44:00, 1055, 23.17, 87.75
2023/09/07 18:44:05, 1054, 23.18, 87.74
2023/09/07 18:44:10, 1054, 23.19, 87.74
2023/09/07 18:44:15, 1054, 23.20, 87.77
2023/09/07 18:44:20, 1055, 23.16, 87.68
2023/09/07 18:44:25, 1055, 23.21, 87.75
2023/09/07 18:44:30, 1054, 23.20, 87.71
2023/09/07 18:44:35, 1055, 23.19, 87.70
2023/09/07 18:44:40, 1056, 23.20, 87.76
2023/09/07 18:44:45, 1056, 23.22, 87.73
2023/09/07 18:44:50, 1055, 23.20, 87.75
2023/09/07 18:44:55, 1054, 23.20, 87.70
2023/09/07 18:45:00, 1053, 23.20, 87.74
2023/09/07 18:45:05, 1055, 23.21, 87.73
2023/09/07 18:45:10, 1055, 23.21, 87.69
2023/09/07 18:45:15, 1055, 23.20, 87.71
2023/09/07 18:45:20, 1055, 23.18, 87.72
2023/09/07 18:45:25, 1056, 23.21, 87.72
2023/09/07 18:45:30, 1057, 23.19, 87.71
2023/09/07 18:45:35, 1063, 23.19, 87.70
2023/09/07 18:45:40, 1064, 23.18, 87.69
2023/09/07 18:45:45, 1064, 23.20, 87.73
2023/09/07 18:45:50, 1065, 23.19, 87.72
2023/09/07 18:45:55, 1065, 23.20, 87.70
2023/09/07 18:46:00, 1065, 23.19, 87.70
2023/09/07 18:46:05, 1065, 23.20, 87.71
2023/09/07 18:46:10, 1065, 23.20, 87.72
2023/09/07 18:46:15, 1065, 23.21, 87.69
2023/09/07 18:46:20, 1065, 23.23, 87.71
2023/09/07 18:46:25, 1066, 23.19, 87.70
2023/09/07 18:46:30, 1066, 23.20, 87.70
2023/09/07 18:46:35, 1065, 23.20, 87.70
2023/09/07 18:46:40, 1067, 23.23, 87.73
2023/09/07 18:46:45, 1070, 23.18, 87.67
2023/09/07 18:46:50, 1072, 23.20, 87.70
2023/09/07 18:46:55, 1071, 23.23, 87.71
2023/09/07 18:47:00, 1071, 23.20, 87.68
2023/09/07 18:47:05, 1071, 23.20, 87.70
2023/09/07 18:47:10, 1072, 23.18, 87.72
2023/09/07 18:47:15, 1072, 23.20, 87.70
2023/09/07 18:47:20, 1072, 23.20, 87.69
2023/09/07 18:47:25, 1073, 23.20, 87.72
