time, co2(ppm), temperature(C), rel_humidity(percent)
01-09-2023 12:58:12, 775, 20.03, 70.46
01-09-2023 12:58:17, 774, 20.02, 70.44
01-09-2023 12:58:22, 775, 20.02, 70.48
01-09-2023 12:58:27, 775, 20.02, 70.45
01-09-2023 12:58:32, 775, 20.02, 70.45
01-09-2023 12:58:37, 776, 20.02, 70.41
01-09-2023 12:58:42, 776, 20.01, 70.43
01-09-2023 12:58:47, 775, 20.03, 70.46
01-09-2023 12:58:52, 776, 20.03, 70.42
01-09-2023 12:58:57, 775, 20.04, 70.42
01-09-2023 12:59:02, 776, 20.02, 70.41
01-09-2023 12:59:07, 776, 20.02, 70.41
01-09-2023 12:59:12, 776, 20.02, 70.41
01-09-2023 12:59:17, 777, 20.02, 70.44
01-09-2023 12:59:22, 777, 20.02, 70.45
01-09-2023 12:59:27, 777, 20.01, 70.43
01-09-2023 12:59:32, 777, 20.02, 70.41
01-09-2023 12:59:37, 777, 20.03, 70.36
01-09-2023 12:59:42, 777, 20.03, 70.38
01-09-2023 12:59:47, 777, 20.03, 70.33
01-09-2023 12:59:52, 777, 20.02, 70.33
01-09-2023 12:59:57, 777, 20.03, 70.40
01-09-2023 13:00:02, 777, 20.03, 70.40
01-09-2023 13:00:07, 776, 20.05, 70.43
01-09-2023 13:00:12, 777, 20.06, 70.38
01-09-2023 13:00:17, 777, 20.01, 70.42
01-09-2023 13:00:22, 777, 20.05, 70.39
01-09-2023 13:00:27, 778, 20.02, 70.41
01-09-2023 13:00:32, 778, 20.04, 70.46
01-09-2023 13:00:37, 779, 20.04, 70.39
01-09-2023 13:00:42, 778, 20.02, 70.45
01-09-2023 13:00:47, 779, 20.02, 70.41
01-09-2023 13:00:52, 779, 20.06, 70.44
01-09-2023 13:00:57, 779, 20.03, 70.41
01-09-2023 13:01:02, 780, 20.03, 70.43
01-09-2023 13:01:07, 779, 20.03, 70.36
01-09-2023 13:01:12, 780, 20.03, 70.45
01-09-2023 13:01:17, 781, 20.03, 70.41
01-09-2023 13:01:22, 781, 20.03, 70.40
01-09-2023 13:01:27, 781, 20.02, 70.38
01-09-2023 13:01:32, 781, 20.04, 70.36
01-09-2023 13:01:37, 782, 20.03, 70.41
01-09-2023 13:01:42, 783, 20.04, 70.39
01-09-2023 13:01:47, 782, 20.03, 70.41
01-09-2023 13:01:52, 782, 20.02, 70.36
01-09-2023 13:01:57, 783, 20.05, 70.36
01-09-2023 13:02:02, 784, 20.03, 70.39
01-09-2023 13:02:07, 784, 20.04, 70.38
01-09-2023 13:02:12, 784, 20.04, 70.42
01-09-2023 13:02:17, 783, 20.02, 70.43
01-09-2023 13:02:22, 783, 20.04, 70.40
01-09-2023 13:02:27, 784, 20.04, 70.41
01-09-2023 13:02:32, 785, 20.04, 70.41
01-09-2023 13:02:37, 786, 20.02, 70.42
01-09-2023 13:02:42, 786, 20.03, 70.46
01-09-2023 13:02:47, 786, 20.03, 70.45
01-09-2023 13:02:52, 787, 20.03, 70.41
01-09-2023 13:02:57, 788, 20.03, 70.42
01-09-2023 13:03:02, 788, 20.06, 70.41
01-09-2023 13:03:07, 789, 20.04, 70.41
01-09-2023 13:03:12, 789, 20.03, 70.41
01-09-2023 13:03:17, 790, 20.05, 70.41
01-09-2023 13:03:22, 790, 20.02, 70.41
01-09-2023 13:03:27, 789, 20.06, 70.35
01-09-2023 13:03:32, 789, 20.03, 70.34
01-09-2023 13:03:38, 789, 20.05, 70.38
01-09-2023 13:03:43, 789, 20.03, 70.38
01-09-2023 13:03:48, 789, 20.01, 70.38
01-09-2023 13:03:53, 788, 20.03, 70.42
01-09-2023 13:03:58, 788, 20.02, 70.36
01-09-2023 13:04:03, 789, 20.05, 70.38
01-09-2023 13:04:08, 788, 20.04, 70.41
01-09-2023 13:04:13, 789, 20.03, 70.39
01-09-2023 13:04:18, 789, 20.04, 70.40
01-09-2023 13:04:23, 789, 20.03, 70.37
01-09-2023 13:04:28, 790, 20.05, 70.36
01-09-2023 13:04:33, 791, 20.05, 70.34
01-09-2023 13:04:38, 791, 20.06, 70.34
01-09-2023 13:04:43, 791, 20.06, 70.35
01-09-2023 13:04:48, 791, 20.06, 70.36
01-09-2023 13:04:53, 792, 20.05, 70.36
01-09-2023 13:04:58, 791, 20.05, 70.37
01-09-2023 13:05:03, 792, 20.06, 70.35
01-09-2023 13:05:08, 792, 20.08, 70.34
01-09-2023 13:05:13, 791, 20.05, 70.37
01-09-2023 13:05:18, 792, 20.04, 70.34
01-09-2023 13:05:23, 792, 20.05, 70.29
01-09-2023 13:05:28, 791, 20.04, 70.38
01-09-2023 13:05:33, 791, 20.04, 70.32
01-09-2023 13:05:38, 792, 20.04, 70.32
01-09-2023 13:05:43, 792, 20.04, 70.39
01-09-2023 13:05:48, 792, 20.03, 70.37
01-09-2023 13:05:53, 792, 20.04, 70.34
01-09-2023 13:05:58, 793, 20.05, 70.37
01-09-2023 13:06:03, 794, 20.05, 70.32
01-09-2023 13:06:08, 794, 20.06, 70.35
01-09-2023 13:06:13, 794, 20.05, 70.37
01-09-2023 13:06:18, 794, 20.05, 70.34
01-09-2023 13:06:23, 794, 20.06, 70.30
01-09-2023 13:06:28, 794, 20.05, 70.31
01-09-2023 13:06:33, 794, 20.03, 70.34
01-09-2023 13:06:38, 794, 20.05, 70.39
01-09-2023 13:06:43, 794, 20.02, 70.33
01-09-2023 13:06:48, 795, 20.04, 70.35
01-09-2023 13:06:53, 795, 20.04, 70.36
01-09-2023 13:06:58, 796, 20.03, 70.30
01-09-2023 13:07:03, 796, 20.05, 70.35
01-09-2023 13:07:08, 797, 20.05, 70.32
01-09-2023 13:07:13, 796, 20.05, 70.32
01-09-2023 13:07:18, 796, 20.03, 70.36
01-09-2023 13:07:23, 796, 20.04, 70.35
01-09-2023 13:07:28, 797, 20.04, 70.37
01-09-2023 13:07:33, 797, 20.05, 70.37
01-09-2023 13:07:38, 797, 20.04, 70.36
01-09-2023 13:07:43, 798, 20.03, 70.33
01-09-2023 13:07:48, 798, 20.03, 70.33
01-09-2023 13:07:53, 798, 20.06, 70.32
01-09-2023 13:07:58, 798, 20.05, 70.37
01-09-2023 13:08:03, 798, 20.06, 70.34
01-09-2023 13:08:08, 798, 20.07, 70.35
01-09-2023 13:08:13, 799, 20.04, 70.36
01-09-2023 13:08:18, 799, 20.05, 70.36
01-09-2023 13:08:23, 799, 20.07, 70.37
01-09-2023 13:08:28, 800, 20.05, 70.31
01-09-2023 13:08:33, 800, 20.04, 70.31
01-09-2023 13:08:38, 801, 20.05, 70.34
01-09-2023 13:08:43, 801, 20.05, 70.34
01-09-2023 13:08:48, 801, 20.06, 70.29
01-09-2023 13:08:53, 801, 20.05, 70.35
01-09-2023 13:08:58, 801, 20.06, 70.32
01-09-2023 13:09:03, 802, 20.06, 70.29
01-09-2023 13:09:08, 802, 20.07, 70.32
01-09-2023 13:09:13, 802, 20.06, 70.32
01-09-2023 13:09:18, 802, 20.09, 70.30
01-09-2023 13:09:23, 801, 20.07, 70.29
01-09-2023 13:09:28, 801, 20.05, 70.32
01-09-2023 13:09:33, 803, 20.07, 70.32
01-09-2023 13:09:38, 803, 20.07, 70.35
01-09-2023 13:09:43, 804, 20.05, 70.34
01-09-2023 13:09:48, 804, 20.05, 70.37
01-09-2023 13:09:53, 805, 20.06, 70.31
01-09-2023 13:09:58, 806, 20.05, 70.31
01-09-2023 13:10:03, 806, 20.04, 70.30
01-09-2023 13:10:08, 807, 20.04, 70.30
01-09-2023 13:10:13, 808, 20.06, 70.26
01-09-2023 13:10:18, 808, 20.05, 70.31
01-09-2023 13:10:23, 808, 20.06, 70.31
01-09-2023 13:10:28, 808, 20.06, 70.30
01-09-2023 13:10:33, 809, 20.05, 70.34
01-09-2023 13:10:38, 810, 20.07, 70.27
01-09-2023 13:10:43, 809, 20.05, 70.31
01-09-2023 13:10:48, 811, 20.06, 70.27
01-09-2023 13:10:53, 812, 20.05, 70.30
01-09-2023 13:10:58, 813, 20.06, 70.27
01-09-2023 13:11:03, 813, 20.05, 70.31
01-09-2023 13:11:08, 812, 20.06, 70.30
01-09-2023 13:11:13, 813, 20.06, 70.26
01-09-2023 13:11:18, 813, 20.06, 70.32
01-09-2023 13:11:23, 813, 20.07, 70.30
01-09-2023 13:11:28, 812, 20.06, 70.27
01-09-2023 13:11:33, 813, 20.04, 70.30
01-09-2023 13:11:38, 814, 20.05, 70.30
01-09-2023 13:11:43, 814, 20.05, 70.30
01-09-2023 13:11:48, 814, 20.06, 70.33
01-09-2023 13:11:53, 814, 20.05, 70.29
01-09-2023 13:11:58, 814, 20.08, 70.25
01-09-2023 13:12:03, 814, 20.06, 70.26
01-09-2023 13:12:08, 814, 20.05, 70.23
01-09-2023 13:12:13, 814, 20.06, 70.27
01-09-2023 13:12:18, 814, 20.04, 70.32
01-09-2023 13:12:23, 813, 20.07, 70.26
01-09-2023 13:12:28, 812, 20.06, 70.27
01-09-2023 13:12:33, 812, 20.07, 70.26
01-09-2023 13:12:38, 812, 20.06, 70.27
01-09-2023 13:12:43, 813, 20.05, 70.27
01-09-2023 13:12:48, 812, 20.07, 70.28
01-09-2023 13:12:53, 811, 20.06, 70.27
01-09-2023 13:12:58, 812, 20.06, 70.30
01-09-2023 13:13:03, 812, 20.08, 70.30
