time,co2(ppm),temperature(°C),rel_humidity(percent)
2023-08-30 18:22:57,1487,22.39,74.39
2023-08-30 18:23:02,1488,22.4,74.41
2023-08-30 18:23:07,1488,22.37,74.34
2023-08-30 18:23:12,1488,22.38,74.39
2023-08-30 18:23:17,1489,22.38,74.41
2023-08-30 18:23:22,1488,22.39,74.37
2023-08-30 18:23:27,1487,22.37,74.4
2023-08-30 18:23:32,1487,22.38,74.4
2023-08-30 18:23:37,1487,22.37,74.37
2023-08-30 18:23:42,1487,22.39,74.4
2023-08-30 18:23:47,1488,22.38,74.39
2023-08-30 18:23:52,1487,22.37,74.37
2023-08-30 18:23:57,1486,22.38,74.35
2023-08-30 18:24:02,1486,22.38,74.38
2023-08-30 18:24:07,1486,22.39,74.42
2023-08-30 18:24:12,1484,22.4,74.38
2023-08-30 18:24:17,1485,22.38,74.36
2023-08-30 18:24:22,1485,22.37,74.35
2023-08-30 18:24:27,1485,22.38,74.4
2023-08-30 18:24:32,1485,22.38,74.39
2023-08-30 18:24:37,1486,22.38,74.4
2023-08-30 18:24:42,1487,22.39,74.41
2023-08-30 18:24:47,1487,22.37,74.38
2023-08-30 18:24:52,1487,22.39,74.4
2023-08-30 18:24:57,1487,22.39,74.37
2023-08-30 18:25:02,1487,22.38,74.38
2023-08-30 18:25:07,1486,22.39,74.39
2023-08-30 18:25:12,1485,22.38,74.39
2023-08-30 18:25:17,1485,22.39,74.41
2023-08-30 18:25:22,1485,22.37,74.38
2023-08-30 18:25:27,1485,22.38,74.41
2023-08-30 18:25:32,1485,22.38,74.37
2023-08-30 18:25:37,1485,22.38,74.4
2023-08-30 18:25:42,1486,22.39,74.39
2023-08-30 18:25:47,1487,22.39,74.38
2023-08-30 18:25:52,1488,22.37,74.42
2023-08-30 18:25:57,1488,22.39,74.35
2023-08-30 18:26:02,1490,22.39,74.39
2023-08-30 18:26:07,1490,22.39,74.36
2023-08-30 18:26:12,1491,22.4,74.33
2023-08-30 18:26:17,1491,22.38,74.39
2023-08-30 18:26:22,1490,22.39,74.41
2023-08-30 18:26:27,1490,22.36,74.38
2023-08-30 18:26:32,1492,22.39,74.43
2023-08-30 18:26:37,1492,22.38,74.38
2023-08-30 18:26:42,1492,22.37,74.37
2023-08-30 18:26:47,1493,22.38,74.35
2023-08-30 18:26:52,1492,22.39,74.38
2023-08-30 18:26:57,1492,22.39,74.37
2023-08-30 18:27:02,1492,22.38,74.37
2023-08-30 18:27:07,1493,22.42,74.4
2023-08-30 18:27:12,1492,22.4,74.4
2023-08-30 18:27:17,1492,22.38,74.38
2023-08-30 18:27:22,1492,22.39,74.37
2023-08-30 18:27:27,1491,22.39,74.44
2023-08-30 18:27:32,1492,22.38,74.35
